location,Poland
lat,43.99986
lon,-70.31250
asl,77.404
variable,Temperature
unit,Â°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Poland Temperature [2 m elevation corrected]
20200601T0000,9.906629
20200601T0100,8.2766285
20200601T0200,7.4166284
20200601T0300,6.866628
20200601T0400,6.4366283
20200601T0500,6.236628
20200601T0600,6.116628
20200601T0700,5.836628
20200601T0800,5.2266283
20200601T0900,4.1066284
20200601T1000,4.026628
20200601T1100,7.1266284
20200601T1200,10.126628
20200601T1300,11.296628
20200601T1400,12.286628
20200601T1500,13.296628
20200601T1600,14.136628
20200601T1700,14.706628
20200601T1800,13.866629
20200601T1900,13.666628
20200601T2000,14.796628
20200601T2100,14.5266285
20200601T2200,13.336628
20200601T2300,12.966628
20200602T0000,11.816628
20200602T0100,9.696629
20200602T0200,8.656629
20200602T0300,7.7066283
20200602T0400,6.946628
20200602T0500,6.1466284
20200602T0600,5.406628
20200602T0700,4.7666283
20200602T0800,4.2266283
20200602T0900,3.7666283
20200602T1000,4.796628
20200602T1100,9.236629
20200602T1200,10.826628
20200602T1300,13.0266285
20200602T1400,14.246628
20200602T1500,15.286628
20200602T1600,16.266628
20200602T1700,17.13663
20200602T1800,17.63663
20200602T1900,18.296629
20200602T2000,18.536629
20200602T2100,17.176628
20200602T2200,15.836628
20200602T2300,13.546628
20200603T0000,12.156629
20200603T0100,13.826628
20200603T0200,12.916628
20200603T0300,12.116629
20200603T0400,11.406629
20200603T0500,10.866629
20200603T0600,10.496628
20200603T0700,10.176628
20200603T0800,9.916628
20200603T0900,9.806628
20200603T1000,10.096628
20200603T1100,10.956628
20200603T1200,12.236629
20200603T1300,14.546628
20200603T1400,16.586628
20200603T1500,18.096628
20200603T1600,19.546629
20200603T1700,20.516628
20200603T1800,19.726627
20200603T1900,19.646627
20200603T2000,19.566628
20200603T2100,19.336628
20200603T2200,19.826628
20200603T2300,19.866629
20200604T0000,18.666628
20200604T0100,16.046629
20200604T0200,14.166628
20200604T0300,12.636628
20200604T0400,11.2766285
20200604T0500,10.786628
20200604T0600,10.836628
20200604T0700,10.406629
20200604T0800,10.126628
20200604T0900,9.866629
20200604T1000,10.646628
20200604T1100,11.806628
20200604T1200,14.256628
20200604T1300,18.066628
20200604T1400,20.406628
20200604T1500,22.046629
20200604T1600,23.38663
20200604T1700,24.466629
20200604T1800,25.306627
20200604T1900,24.776628
20200604T2000,25.226627
20200604T2100,26.016628
20200604T2200,25.716629
20200604T2300,24.446629
20200605T0000,23.166628
20200605T0100,20.206629
20200605T0200,18.456629
20200605T0300,16.896627
20200605T0400,16.096628
20200605T0500,15.646628
20200605T0600,15.256628
20200605T0700,14.946629
20200605T0800,14.716628
20200605T0900,14.716628
20200605T1000,15.266628
20200605T1100,15.5266285
20200605T1200,16.006628
20200605T1300,17.876629
20200605T1400,20.656628
20200605T1500,23.256628
20200605T1600,24.716629
20200605T1700,22.736628
20200605T1800,24.846628
20200605T1900,26.13663
20200605T2000,26.726627
20200605T2100,26.836628
20200605T2200,26.566628
20200605T2300,25.63663
20200606T0000,24.696629
20200606T0100,22.456629
20200606T0200,20.616629
20200606T0300,18.946629
20200606T0400,17.586628
20200606T0500,17.156628
20200606T0600,16.576628
20200606T0700,15.966629
20200606T0800,15.486629
20200606T0900,15.126628
20200606T1000,15.616629
20200606T1100,16.646627
20200606T1200,18.356628
20200606T1300,20.88663
20200606T1400,22.986628
20200606T1500,24.976627
20200606T1600,23.356628
20200606T1700,23.416628
20200606T1800,24.906628
20200606T1900,25.756628
20200606T2000,24.806627
20200606T2100,24.106628
20200606T2200,22.996628
20200606T2300,21.516628
20200607T0000,20.086628
20200607T0100,18.496628
20200607T0200,17.63663
20200607T0300,16.816628
20200607T0400,15.736629
20200607T0500,14.766628
20200607T0600,13.906629
20200607T0700,13.006628
20200607T0800,12.166628
20200607T0900,11.476628
20200607T1000,12.496628
20200607T1100,15.906628
20200607T1200,15.716628
20200607T1300,16.016628
20200607T1400,15.836628
20200607T1500,15.586628
20200607T1600,14.946629
20200607T1700,15.386628
20200607T1800,15.686628
20200607T1900,16.116629
20200607T2000,16.406628
20200607T2100,16.346628
20200607T2200,17.076628
20200607T2300,16.436628
20200608T0000,15.466628
20200608T0100,13.876628
20200608T0200,13.246628
20200608T0300,12.636628
20200608T0400,11.766628
20200608T0500,10.676628
20200608T0600,9.786628
20200608T0700,8.946629
20200608T0800,8.126628
20200608T0900,7.2866282
20200608T1000,7.3766284
20200608T1100,11.706628
20200608T1200,15.346628
20200608T1300,17.526628
20200608T1400,18.316628
20200608T1500,19.146627
20200608T1600,19.936628
20200608T1700,20.546629
20200608T1800,20.976627
20200608T1900,21.176628
20200608T2000,21.106628
20200608T2100,20.826628
20200608T2200,20.326628
20200608T2300,19.256628